"country","Date","Doses_admin","People_at_least_one_dose","Population","VaxxedPercentage","VaxxedOncePercentage","TotalDosesPerIndividual","state legitimacy","region","freedom_status","FOE","civil_liberties"
"New Zealand","2022-03-01",10629827,4259845,4822233,88.3376021025944,88.3376021025944,2.20433707786413,0.5,"Asia","F",16,59
"Nicaragua","2022-03-01",9367505,5423137,NA,NA,NA,NA,8.9,"Americas","NF",5,18
"Niger","2022-03-01",1840055,1474560,NA,NA,NA,NA,6.8,"Africa","PF",10,28
"Nigeria","2022-03-01",26516526,17735985,206139587,8.60387141456726,8.60387141456726,0.128633836837948,8.5,"Africa","PF",9,23
"North Macedonia","2022-03-01",1826409,847017,2083380,40.6559053077211,40.6559053077211,0.876656682890303,4.8,"Europe","PF",12,39
"Norway","2022-03-01",11266569,4332112,5421242,79.9099542134441,79.9099542134441,2.07822653923215,0.3,"Europe","F",16,60
"Oman","2022-03-01",6878593,3220696,5106622,63.0690111780351,63.0690111780351,1.3469947452543,6.9,"Middle East","NF",5,18
"Pakistan","2022-03-01",214661126,126722806,220892331,57.3685856029108,57.3685856029108,0.971790759001045,7.4,"Asia","PF",6,22
"Panama","2022-03-01",7544898,3331140,4314768,77.2032239045066,77.2032239045066,1.74862194212991,3.2,"Americas","F",15,48
"Papua New Guinea","2022-03-01",547855,304082,NA,NA,NA,NA,5.8,"Asia","PF",14,39
"Paraguay","2022-03-01",8070750,3786974,7132530,53.0943998833514,53.0943998833514,1.13154098195171,6.7,"Americas","PF",12,37
"Peru","2022-03-01",63531023,27963145,32971846,84.809158092028,84.809158092028,1.92682639000558,6.9,"Americas","F",15,42
"Philippines","2022-03-01",134332014,68661595,109581085,62.6582543876071,62.6582543876071,1.22586862504601,7.1,"Asia","PF",11,30
"Poland","2022-03-01",53324129,22519535,37846605,59.502127073221,59.502127073221,1.40895409244766,4,"Europe","F",13,47
"Portugal","2022-03-01",23608337,9713429,10196707,95.26045026105,95.26045026105,2.31529031872741,0.8,"Europe","F",16,56
"Qatar","2022-03-01",6325732,2360308,2881060,81.9249859426739,81.9249859426739,2.19562660965061,6.3,"Middle East","NF",7,18
"Romania","2022-03-01",16677784,5474507,19237682,28.4572070585219,28.4572070585219,0.866933136746932,4.7,"Europe","F",13,48
"Russia","2022-03-01",160816996,78284278,145934460,53.6434492579751,53.6434492579751,1.10198095775323,8.6,"Eurasia","NF",3,14
"Rwanda","2022-03-01",19421047,8895871,12952209,68.682268792914,68.682268792914,1.49943897600788,6.7,"Africa","NF",3,14
"Samoa","2022-03-01",276278,145989,NA,NA,NA,NA,4.4,"Asia","F",14,51
"San Marino","2022-03-01",64480,24583,33938,72.435028581531,72.435028581531,1.89993517590901,NA,"Europe","F",15,55
"Sao Tome and Principe","2022-03-01",182238,88983,NA,NA,NA,NA,4.1,"Africa","F",15,49
"Saudi Arabia","2022-03-01",60953969,25960748,34813867,74.5701360897369,74.5701360897369,1.75085315859913,7.8,"Middle East","NF",2,6
"Senegal","2022-03-01",2064199,1440720,16743930,8.60443157609952,8.60443157609952,0.123280436552231,3.7,"Africa","PF",13,39
"Serbia","2022-03-01",8472336,3343966,8737370,38.2719971799294,38.2719971799294,0.969666615926761,5.8,"Europe","PF",12,41
"Seychelles","2022-03-01",196959,84074,98340,85.4931869025829,85.4931869025829,2.00283709579012,4,"Africa","F",14,45
"Sierra Leone","2022-03-01",1813692,1480815,7976985,18.5635926355634,18.5635926355634,0.227365602417455,5.4,"Africa","PF",12,37
"Singapore","2022-03-01",13723906,5088356,5850343,86.9753448643951,86.9753448643951,2.34582929582078,3.7,"Asia","PF",7,28
"Slovakia","2022-03-01",5710247,2591078,5459643,47.4587440973705,47.4587440973705,1.0459011697285,3.5,"Europe","F",15,53
"Slovenia","2022-03-01",2962788,1263808,2078932,60.7912139502398,60.7912139502398,1.42514906692475,1.7,"Europe","F",14,52
"Solomon Islands","2022-03-01",301219,206118,NA,NA,NA,NA,6.1,"Asia","F",16,49
"Somalia","2022-03-01",1838348,1479158,NA,NA,NA,NA,9.5,"Africa","NF",3,6
"South Africa","2022-03-01",31439128,20336132,59308690,34.2886211110041,34.2886211110041,0.530093111144421,6.4,"Africa","F",15,46
"South Korea","2022-03-01",119359992,44608525,NA,NA,NA,NA,2.7,"Asia","F",14,50
"South Sudan","2022-03-01",524292,475558,NA,NA,NA,NA,9.6,"Africa","NF",2,4
"Spain","2022-03-01",92633158,41073324,46754783,87.8483897572576,87.8483897572576,1.98125522259402,6.6,"Europe","F",14,53
"Sri Lanka","2022-03-01",38275280,16903964,21413250,78.9416085834705,78.9416085834705,1.78745776563576,6,"Asia","PF",8,32
"Sudan","2022-03-01",5711034,5126250,NA,NA,NA,NA,9.3,"Africa","NF",5,10
"Suriname","2022-03-01",502059,266344,586634,45.4020735245485,45.4020735245485,0.855830040536348,3.5,"Americas","F",15,45
"Sweden","2022-03-01",20574867,7757480,10099270,76.8122844522426,76.8122844522426,2.03726279226122,0.6,"Europe","F",16,60
"Switzerland","2022-03-01",15571827,6074190,8654618,70.1843801771494,70.1843801771494,1.799250642836,0.3,"Europe","F",15,57
"Syria","2022-03-01",3187594,2197941,NA,NA,NA,NA,10,"Middle East","NF",3,4
"Taiwan","2022-03-01",47148570,19342050,23816775,81.2118769228831,81.2118769228831,1.979637041539,NA,"Asia","F",16,56
"Tajikistan","2022-03-01",9279471,4916961,NA,NA,NA,NA,9.3,"Eurasia","NF",1,8
"Tanzania","2022-03-01",4440797,3223953,NA,NA,NA,NA,7.4,"Africa","PF",7,22
"Thailand","2022-03-01",123840373,53615130,69799978,76.8125313735772,76.8125313735772,1.77421793743259,7.8,"Asia","NF",6,24
"Timor-Leste","2022-03-01",1259011,677178,NA,NA,NA,NA,5.2,"Asia","F",14,39
"Togo","2022-03-01",2515341,1415448,8278737,17.0973905802298,17.0973905802298,0.303831490238185,7.9,"Africa","PF",9,27
"Tonga","2022-03-01",147193,76910,NA,NA,NA,NA,NA,"Asia","F",14,49
"Trinidad and Tobago","2022-03-01",1524592,741408,1399491,52.9769752002692,52.9769752002692,1.08939035692262,3,"Americas","F",16,49
"Tunisia","2022-03-01",12993306,7160078,11818618,60.583039404438,60.583039404438,1.0993930085565,6,"Africa","PF",12,38
