"Date","country","Doses_admin","People_at_least_one_dose","Population","VaxxedPercentage","VaxxedOncePercentage","TotalDosesPerIndividual"
"2022-03-01","Qatar",6325732,2360308,2881060,81.9249859426739,81.9249859426739,2.19562660965061
"2022-03-01","Romania",16677784,5474507,19237682,28.4572070585219,28.4572070585219,0.866933136746932
"2022-03-01","Russia",160816996,78284278,145934460,53.6434492579751,53.6434492579751,1.10198095775323
"2022-03-01","Rwanda",19421047,8895871,12952209,68.682268792914,68.682268792914,1.49943897600788
"2022-03-01","Saint Kitts and Nevis",60467,31162,53192,58.5839975936231,58.5839975936231,1.1367686870206
"2022-03-01","Saint Lucia",116213,57622,183629,31.3795751215767,31.3795751215767,0.632868446705041
"2022-03-01","Saint Vincent and the Grenadines",67444,35226,110947,31.7502951859897,31.7502951859897,0.607893859230083
"2022-03-01","Samoa",276278,145989,NA,NA,NA,NA
"2022-03-01","San Marino",64480,24583,33938,72.435028581531,72.435028581531,1.89993517590901
"2022-03-01","Sao Tome and Principe",182238,88983,NA,NA,NA,NA
"2022-03-01","Saudi Arabia",60953969,25960748,34813867,74.5701360897369,74.5701360897369,1.75085315859913
"2022-03-01","Senegal",2064199,1440720,16743930,8.60443157609952,8.60443157609952,0.123280436552231
"2022-03-01","Serbia",8472336,3343966,8737370,38.2719971799294,38.2719971799294,0.969666615926761
"2022-03-01","Seychelles",196959,84074,98340,85.4931869025829,85.4931869025829,2.00283709579012
"2022-03-01","Sierra Leone",1813692,1480815,7976985,18.5635926355634,18.5635926355634,0.227365602417455
"2022-03-01","Singapore",13723906,5088356,5850343,86.9753448643951,86.9753448643951,2.34582929582078
"2022-03-01","Slovakia",5710247,2591078,5459643,47.4587440973705,47.4587440973705,1.0459011697285
"2022-03-01","Slovenia",2962788,1263808,2078932,60.7912139502398,60.7912139502398,1.42514906692475
"2022-03-01","Solomon Islands",301219,206118,NA,NA,NA,NA
"2022-03-01","Somalia",1838348,1479158,NA,NA,NA,NA
"2022-03-01","South Africa",31439128,20336132,59308690,34.2886211110041,34.2886211110041,0.530093111144421
"2022-03-01","South Sudan",524292,475558,NA,NA,NA,NA
"2022-03-01","Spain",92633158,41073324,46754783,87.8483897572576,87.8483897572576,1.98125522259402
"2022-03-01","Sri Lanka",38275280,16903964,21413250,78.9416085834705,78.9416085834705,1.78745776563576
"2022-03-01","Sudan",5711034,5126250,NA,NA,NA,NA
