"Country","Doses_admin","Ppl_1_Dose","Population","VaxxedOncePercentage","TotalDosesPerIndividual","State_Illegitimacy","Region","Freedom_Status","FOE","Civil_Liberties"
"Taiwan",47148570,19342050,23816775,81.2118769228831,1.979637041539,NA,"Asia","3",16,56
"Tajikistan",9279471,4916961,NA,NA,NA,9.3,"Eurasia","1",1,8
"Tanzania",4440797,3223953,NA,NA,NA,7.4,"Africa","2",7,22
"Thailand",123840373,53615130,69799978,76.8125313735772,1.77421793743259,7.8,"Asia","1",6,24
"Timor-Leste",1259011,677178,NA,NA,NA,5.2,"Asia","3",14,39
"Togo",2515341,1415448,8278737,17.0973905802298,0.303831490238185,7.9,"Africa","2",9,27
"Tonga",147193,76910,NA,NA,NA,NA,"Asia","3",14,49
"Trinidad and Tobago",1524592,741408,1399491,52.9769752002692,1.08939035692262,3,"Americas","3",16,49
"Tunisia",12993306,7160078,11818618,60.583039404438,1.0993930085565,6,"Africa","2",12,38
"Turkey",145631632,57682903,84339067,68.3940492251355,1.72673989860476,7.3,"Europe","1",5,16
"Tuvalu",12114,6230,NA,NA,NA,NA,"Asia","3",16,56
"Uganda",16672943,13809794,45741000,30.191281344964,0.364507618985156,8.5,"Africa","1",8,23
"Ukraine",31668577,15774300,43733759,36.0689324693082,0.724121999208895,6.5,"Eurasia","2",11,35
"United Arab Emirates",24119061,9881456,9890400,99.9095688748686,2.43863352341665,6.4,"Middle East","1",3,12
"United Kingdom",139884311,52634448,67886004,77.5335782026587,2.0605765954349,3.3,"Europe","3",14,54
"United States",561158853,254181862,329466283,77.1495825568287,1.70323605769395,4.5,"Americas","3",14,51
"Uruguay",7639548,2956142,3473727,85.1000092983703,2.19923672758395,0.4,"Americas","3",16,57
"Uzbekistan",42121870,18446210,NA,NA,NA,9.2,"Eurasia","1",3,9
"Vanuatu",199464,114284,NA,NA,NA,NA,"Asia","3",14,49
"Venezuela",37860994,22157232,28435943,77.919807336792,1.33144851218755,9.6,"Americas","1",6,13
"Vietnam",194970502,79373871,97338583,81.5440995273169,2.00301356349106,8.3,"Asia","1",3,16
"Yemen",772574,614653,NA,NA,NA,9.9,"Middle East","1",2,8
"Zambia",2863132,2487149,NA,NA,NA,7.2,"Africa","2",8,30
"Zimbabwe",7890951,4362150,14862927,29.3491988489212,0.530915007521735,8.9,"Africa","1",7,17
